group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Streaks,240709T133635.png,61.51,154.11,109.0,0.65,0.77
test,Streaks,240709T143445.png,0.0,265.41,51.41,0.38,0.417
test,Streaks,240709T143758.png,0.0,0.0,299.95,1000000000.0,0.61
test,Streaks,240710B_279.png,66.83,0.0,0.0,1000000000.0,0.116
test,Streaks,240710B_28.png,20.04,0.0,0.0,1000000000.0,0.289
test,Streaks,240710B_368.png,28.3,172.07,0.0,0.58,0.496
test,Streaks,240710B_583.png,31.86,0.0,17.57,1000000000.0,0.488
test,Streaks,240710B_749.png,0.0,0.0,114.35,1000000000.0,0.325
test,Streaks,240710B_935.png,120.6,0.0,156.38,1000000000.0,0.486
test,Streaks,240710B_961.png,0.0,160.37,84.86,0.62,0.515
test,Streaks,240710B_CdTe_15.png,131.11,0.0,114.94,1000000000.0,0.453
test,Streaks,240710B_CdTe_259.png,68.02,0.0,0.0,1000000000.0,0.126
test,Streaks,240710B_CdTe_370.png,386.0,151.01,0.0,0.66,0.511
test,Streaks,240710B_CdTe_526.png,21.05,0.0,30.6,1000000000.0,0.254
test,Streaks,240710B_CdTe_709.png,182.21,0.0,107.48,1000000000.0,0.104
test,Streaks,240710B_CdTe_839.png,49.28,0.0,25.24,1000000000.0,0.247
test,Streaks,240710B_CdTe_921.png,20.72,0.0,0.0,1000000000.0,0.142
test,Streaks,240710B_CdTe_976.png,0.0,0.0,83.91,1000000000.0,0.395
test,Streaks,240710T152704_CdTe.png,164.09,0.0,107.3,1000000000.0,0.226
test,Streaks,240710T153830.png,122.6,186.05,112.53,0.54,0.396
test,Streaks,240712A_118.png,28.68,27.9,29.33,3.58,0.0
test,Streaks,240712A_209.png,79.38,177.73,77.98,0.56,0.0
test,Streaks,240712A_25.png,50.03,175.4,71.37,0.57,0.0
test,Streaks,240712A_296.png,93.25,138.8,68.14,0.72,0.0
test,Streaks,240712A_GeTe.png,52.06,120.89,86.16,0.83,0.0
